服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,1799,1640,1844,2064,2039,2156,2053,1854,2073,2013,1816,1974
呉,1709,1550,1741,1981,1952,2023,1917,1764,1935,1912,1692,1902
佐世保,1779,1625,1819,1959,1992,2044,2038,1825,1981,1989,1791,1952
舞鶴,1621,1506,1733,1885,1867,1945,1866,1712,1883,1852,1632,1835
大湊,1733,1605,1829,1998,2018,2060,2012,1837,2000,2022,1818,2061
トラック,1777,1583,1871,2005,2046,2087,1983,1827,2097,2056,1823,2050
リンガ,1869,1665,1943,2096,2117,2188,2094,1859,2096,2157,1867,2127
ラバウル,1964,1688,2070,2161,2201,2374,2219,2021,2317,2382,2006,2418
ショートランド,1922,1738,2086,2213,2256,2336,2206,2011,2325,2385,2078,2397
ブイン,1944,1693,1992,2141,2205,2221,2195,1971,2198,2223,1929,2250
タウイタウイ,1956,1720,2118,2206,2249,2379,2262,2014,2362,2318,2018,2300
パラオ,2075,1804,2156,2313,2351,2415,2308,2083,2317,2355,2054,2317
ブルネイ,2070,1776,2114,2281,2322,2325,2361,2107,2325,2368,2085,2378
単冠湾,2028,1775,2121,2242,2290,2397,2260,2070,2307,2316,2000,2288
幌筵,2076,1752,2125,2211,2289,2363,2247,2025,2316,2318,2020,2313
宿毛湾,2038,1758,2078,2253,2284,2371,2224,2033,2300,2284,2003,2280
鹿屋,2062,1763,2144,2293,2299,2415,2292,2108,2353,2393,2070,2475
岩川,1951,1744,2126,2182,2220,2328,2188,1988,2246,2269,1953,2261
佐伯湾,2174,1847,2318,2261,2482,2441,2415,2195,2456,2382,2072,2420
柱島,2543,2053,2682,2454,2883,2760,2637,2429,2846,2963,2397,2979
