服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,5949,5519,4541,5569,6020,5951,7300,10585,10926,11682,12748,8891
呉,5770,4239,4302,5298,5643,5916,6213,10653,10242,15130,13084,9328
佐世保,4296,4249,4011,4346,5211,4689,6026,11897,10121,13798,13010,6580
舞鶴,6039,4226,4509,4634,4482,4568,4715,10380,11904,14340,13508,8721
大湊,6440,4136,4665,7000,6162,6340,7309,10507,17274,13717,12121,9558
トラック,6174,5053,4561,5985,6049,5107,6460,10119,9333,10306,10986,7404
リンガ,5575,4409,4916,4859,7190,5519,6666,10275,13563,11938,10000,7612
ラバウル,6772,5652,4296,5675,7069,6278,7356,10766,10009,11178,13663,8406
ショートランド,8001,6917,5784,6183,5910,6453,11391,10399,12766,15017,13551,9278
ブイン,7254,5459,4448,5662,5502,5375,5958,8112,9000,13000,10435,7467
タウイタウイ,6731,7140,4971,6712,7121,7655,8990,12121,9189,13616,12847,8232
パラオ,6192,4599,4841,5702,6155,5981,6658,10648,8917,11191,12081,7691
ブルネイ,7080,6043,4841,5555,5894,6265,7127,8375,8792,11246,11891,7080
単冠湾,6129,4901,6069,5619,6730,5174,6810,10085,9493,14583,12595,8049
幌筵,6771,5337,4680,5509,6945,7210,7383,10721,8608,12945,11983,7986
宿毛湾,5480,4564,4947,5273,6160,6953,6785,9784,10132,11621,11130,7332
鹿屋,6008,5660,4789,6222,8172,5463,7001,10122,8564,11427,12061,7724
岩川,6262,5022,4213,5639,6937,4901,6005,8922,8018,9299,10060,7309
佐伯湾,6529,5186,4936,6696,6270,6653,7524,11129,9065,11082,11446,8161
柱島,9194,7265,6570,8032,7290,7769,8123,12800,14538,15010,14995,10294
